architecture,variant,initialization,ratio,seed,epoch,learning_rate,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted,training_seconds,val_inference_seconds,epoch_seconds
mobilenet_v2,grayscale,pretrained,0.2,42,1,5e-05,1.6982907400162872,0.5878369226601653,0.9914076157558112,0.7358024691358025,0.5053090546674799,0.6919733828177995,8.872110868000163,0.8600577940001131,9.73278961799997
mobilenet_v2,grayscale,pretrained,0.2,42,2,7.500000000000001e-05,0.5035404599279661,0.8817553839902479,0.4243806344491464,0.8839506172839506,0.7988200334474296,0.8773209299259138,5.3588404940001055,0.22074507100001028,5.58000453700015
mobilenet_v2,grayscale,pretrained,0.2,42,3,0.0001,0.2309712730504529,0.9404036299607206,0.29322277116186823,0.908641975308642,0.836666996714781,0.9057140004587209,5.3550767599999745,0.21876060500017047,5.574238995999849
mobilenet_v2,grayscale,pretrained,0.2,42,4,9.924038765061042e-05,0.1345770045697132,0.9670865501828525,0.24990395587167621,0.9259259259259259,0.8869640465484114,0.9241555578223097,5.368005664000066,0.22586552500001744,5.5942782609999995
mobilenet_v2,grayscale,pretrained,0.2,42,5,9.698463103929544e-05,0.08864926259001467,0.9809020723283218,0.22039308960055126,0.9271604938271605,0.8888735055543174,0.9275412504078278,5.366419490999988,0.23360796699989805,5.600442192999935
mobilenet_v2,grayscale,pretrained,0.2,42,6,9.330127018922195e-05,0.06149037187982345,0.9852363537857239,0.1828600353664822,0.9493827160493827,0.9235469639066938,0.9498798364400025,5.410295767999969,0.22629539600006865,5.637005648000013
mobilenet_v2,grayscale,pretrained,0.2,42,7,8.83022221559489e-05,0.04904575392020583,0.9886225111743194,0.18446283237433728,0.9358024691358025,0.8932922661008059,0.9350259397217516,5.39910076000001,0.22458632999996553,5.624145572999851
mobilenet_v2,grayscale,pretrained,0.2,42,8,8.213938048432697e-05,0.038635294723483295,0.9914668833807395,0.14490696280090898,0.9530864197530864,0.9278064347977929,0.9542346050779529,5.353506812999967,0.22577373399985845,5.579714656000078
mobilenet_v2,grayscale,pretrained,0.2,42,9,7.500000000000001e-05,0.024844826002455526,0.9958011648381416,0.144812857368846,0.9518518518518518,0.9310094947970292,0.9523522855210264,5.35953387099994,0.2447649470000215,5.604757278000079
mobilenet_v2,grayscale,pretrained,0.2,42,10,6.710100716628346e-05,0.01806705666358565,0.9978328592712989,0.12746893344102084,0.9604938271604938,0.9420386133402326,0.9609687313021719,5.322891238000011,0.22992071599992414,5.553296386000056
mobilenet_v2,grayscale,pretrained,0.2,42,11,5.868240888334653e-05,0.015248030967799512,0.9978328592712989,0.13385694821675617,0.9543209876543209,0.9360773264673848,0.9548807891816385,5.342754628000193,0.22704429200007326,5.5702131479999935
mobilenet_v2,grayscale,pretrained,0.2,42,12,5e-05,0.013896884509445158,0.9983746444534742,0.13480598264270358,0.9481481481481482,0.9199007406416118,0.9491571133038925,5.356810999000118,0.22358937600006357,5.5807998639998
mobilenet_v2,grayscale,pretrained,0.2,42,13,4.131759111665349e-05,0.01128520861244833,0.9991873222267371,0.13067108951968912,0.9543209876543209,0.9364025321193518,0.955068035549182,5.356632270999853,0.23685834299999442,5.593941958999949
mobilenet_v2,grayscale,pretrained,0.2,42,14,3.289899283371658e-05,0.010743587400567946,0.9987809833401057,0.13002156019210814,0.9555555555555556,0.9346521352251169,0.9561958536977488,5.346297089000018,0.22708679499987738,5.573792157000071
mobilenet_v2,grayscale,pretrained,0.2,42,15,2.5000000000000015e-05,0.01098645579528513,0.9979683055668428,0.13363722798265057,0.9567901234567902,0.9382386968884381,0.95748251277302,5.346399331999919,0.23211331700008486,5.5789259660000425
mobilenet_v2,grayscale,pretrained,0.2,42,16,1.7860619515673033e-05,0.0076788003509378555,0.9995936611133686,0.12122842838734756,0.9604938271604938,0.9435391017759376,0.9607978031297963,5.360916988000099,0.2351037930000075,5.596434605000013
mobilenet_v2,grayscale,pretrained,0.2,42,17,1.1697777844051107e-05,0.007623682614225659,0.9991873222267371,0.11155104475256837,0.9629629629629629,0.9500567771717016,0.9633894710087418,5.366122925999889,0.22755340399999113,5.594090725000115
mobilenet_v2,grayscale,pretrained,0.2,42,18,6.698729810778077e-06,0.007166725726674303,0.9994582148178247,0.10733927503044223,0.9629629629629629,0.9492579742264815,0.9632542614591292,5.363430059999928,0.22368125399998462,5.587610829000141
mobilenet_v2,grayscale,pretrained,0.2,42,19,3.015368960704585e-06,0.006666040655639773,0.999322768522281,0.10680089747464215,0.9617283950617284,0.9493373363835554,0.9620918254774813,5.374358365000035,0.242979996999793,5.617788444000098
mobilenet_v2,grayscale,pretrained,0.2,42,20,7.596123493895992e-07,0.007277801610932075,0.999322768522281,0.12482762263144975,0.9592592592592593,0.9429503599737513,0.9596522875156468,5.370226475999971,0.23049963199991907,5.601137363000134
