architecture,variant,initialization,ratio,seed,epoch,learning_rate,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted,training_seconds,val_inference_seconds,epoch_seconds
mobilenet_v2,color,pretrained,0.2,42,1,5e-05,1.5040859148848853,0.6651767574156847,0.6527572160885657,0.8740740740740741,0.7076726332816706,0.848710325382432,8.995944545000043,0.8576534769999853,9.855615164000028
mobilenet_v2,color,pretrained,0.2,42,2,7.500000000000001e-05,0.298733609606786,0.9513747798997697,0.17351302394160517,0.9679012345679012,0.9393810122231959,0.9667105037804532,5.267186225999978,0.22466375499999458,5.492290910999998
mobilenet_v2,color,pretrained,0.2,42,3,0.0001,0.09036930610913822,0.9879452796966003,0.084705137912138,0.980246913580247,0.9640919218073913,0.9799241196625235,5.245555716000013,0.23025153999998338,5.476263686999971
mobilenet_v2,color,pretrained,0.2,42,4,9.924038765061042e-05,0.04353605483151638,0.9949884870648787,0.06189290859081127,0.9876543209876543,0.9854836487004538,0.9875975263829027,5.263120823999998,0.22591186099998595,5.489462528999979
mobilenet_v2,color,pretrained,0.2,42,5,9.698463103929544e-05,0.028862061481819426,0.9963429500203169,0.06155386957121484,0.9839506172839506,0.9784517642483505,0.9841127070602429,5.250592281000024,0.23157827899996164,5.482625312000039
mobilenet_v2,color,pretrained,0.2,42,6,9.330127018922195e-05,0.01664149373684991,0.9979683055668428,0.05294175795566888,0.9851851851851852,0.9776358528174003,0.9853284047811408,5.265560043999983,0.22666933499999686,5.492683591000002
mobilenet_v2,color,pretrained,0.2,42,7,8.83022221559489e-05,0.016708191632558447,0.9976974129757551,0.04142681007032041,0.991358024691358,0.9847252730235778,0.9912966840548891,5.2982742359999975,0.24062582999999904,5.53935537000001
mobilenet_v2,color,pretrained,0.2,42,8,8.213938048432697e-05,0.01048932751441622,0.9989164296356494,0.04272383377875811,0.9876543209876543,0.9809281104386536,0.9876983141280273,5.278273586000012,0.22451580699998885,5.503243467000004
mobilenet_v2,color,pretrained,0.2,42,9,7.500000000000001e-05,0.0069988277503247025,0.999322768522281,0.04634614594188737,0.9876543209876543,0.9857109174402605,0.9878622771982468,5.259219075000033,0.22685460399998192,5.486545056000011
mobilenet_v2,color,pretrained,0.2,42,10,6.710100716628346e-05,0.00569549474620983,0.9997291074089124,0.057095378416555896,0.9864197530864197,0.9838610724008258,0.986719828785732,5.259682625999972,0.23478053299999146,5.494890434000013
mobilenet_v2,color,pretrained,0.2,42,11,5.868240888334653e-05,0.0040553003467834366,0.9998645537044561,0.047875437765945626,0.9876543209876543,0.9793985986101023,0.9877515485346078,5.261165413000015,0.2292317980000007,5.490835246000017
mobilenet_v2,color,pretrained,0.2,42,12,5e-05,0.004530595825662397,1.0,0.048720518895137455,0.9888888888888889,0.9863102526629012,0.9891625058456306,5.264605162000009,0.23390542999999298,5.498922223000022
mobilenet_v2,color,pretrained,0.2,42,13,4.131759111665349e-05,0.004027493548071532,0.9997291074089124,0.03832431060296518,0.9901234567901235,0.9880997785027702,0.9902601603139096,5.3082303639999395,0.24195361799991133,5.550645607000035
mobilenet_v2,color,pretrained,0.2,42,14,3.289899283371658e-05,0.0033007391933318956,0.9998645537044561,0.05190940491947127,0.9851851851851852,0.9824759035109577,0.9852926978960558,5.304568351999933,0.22934360700003253,5.534333137999965
mobilenet_v2,color,pretrained,0.2,42,15,2.5000000000000015e-05,0.004035554431680579,0.9995936611133686,0.05415428994614401,0.9876543209876543,0.9849427312953797,0.9879216068269537,5.290872671000102,0.2234541589999708,5.514740769999889
mobilenet_v2,color,pretrained,0.2,42,16,1.7860619515673033e-05,0.0026958800103506807,1.0,0.04414578661506559,0.9864197530864197,0.9849845354877084,0.9866854639630233,5.2747411660000125,0.23524798300002203,5.5104436679999935
mobilenet_v2,color,pretrained,0.2,42,17,1.1697777844051107e-05,0.0023827780783378253,1.0,0.045929713896763175,0.9876543209876543,0.9868188319621847,0.9877113718743773,5.273983127999941,0.22681667999995625,5.501223675000006
mobilenet_v2,color,pretrained,0.2,42,18,6.698729810778077e-06,0.0026237492345638808,0.9997291074089124,0.044892658127678765,0.9864197530864197,0.9838431705032246,0.9865332954329497,5.282000261999997,0.22851994400002695,5.510959300999957
mobilenet_v2,color,pretrained,0.2,42,19,3.015368960704585e-06,0.0024094873048019732,1.0,0.045734813919773805,0.9876543209876543,0.9849427312953797,0.9879216068269537,5.301374898000063,0.22871078800005762,5.530578894000087
mobilenet_v2,color,pretrained,0.2,42,20,7.596123493895992e-07,0.002372470957956291,1.0,0.05361747682830434,0.9864197530864197,0.9844410999000249,0.986683468313699,5.3068226279999635,0.226994262000062,5.534270552000066
