architecture,variant,initialization,ratio,seed,epoch,learning_rate,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted,training_seconds,val_inference_seconds,epoch_seconds
mobilenet_v2,grayscale,scratch,0.5,42,1,5e-05,2.6726955476585648,0.2621395647979419,3.293571818450883,0.19716935090287946,0.062402150680926013,0.16757895326632138,17.097872757000005,0.9623526610002955,18.06088415100021
mobilenet_v2,grayscale,scratch,0.5,42,2,7.500000000000001e-05,2.1311276655435334,0.3987029692357166,2.7811875164130653,0.3269887750122011,0.12477072632585019,0.26524124320766507,13.663661105999381,0.4840558650003004,14.148230120000335
mobilenet_v2,grayscale,scratch,0.5,42,3,0.0001,1.8142379875900738,0.4748097330903634,2.4252623557579,0.3699365544167887,0.1728475152591912,0.3203982527567848,13.637403023999468,0.46368412999981956,14.10156888399979
mobilenet_v2,grayscale,scratch,0.5,42,4,9.924038765061042e-05,1.5559601907063583,0.5413227569943188,2.2649922228953265,0.4036115178135676,0.21009624532177995,0.35923513403538787,13.687736689999838,0.4807311660006235,14.16886511299981
mobilenet_v2,grayscale,scratch,0.5,42,5,9.698463103929544e-05,1.3170319089604314,0.6061742952084896,2.080544130112149,0.46315275744265494,0.27323661965023494,0.41890191746891325,13.65051207200031,0.47431249100009154,14.125281187000837
mobilenet_v2,grayscale,scratch,0.5,42,6,9.330127018922195e-05,1.1178616960660248,0.6601457819702005,1.7633975470223155,0.51634943875061,0.32966191393088656,0.4806138634130762,13.68031844699999,0.4725268399997731,14.15325186500013
mobilenet_v2,grayscale,scratch,0.5,42,7,8.83022221559489e-05,0.9654452373953619,0.7036659877800407,1.9170775080727855,0.5026842362127867,0.3210747673718268,0.45705001758670705,13.704339068999616,0.4808674890000475,14.18565870600014
mobilenet_v2,grayscale,scratch,0.5,42,8,8.213938048432697e-05,0.8373342285535511,0.744184800085754,1.7193667245178819,0.5300146412884333,0.3488986144964468,0.4973572415536912,13.677093366000008,0.4782570229999692,14.155842086999655
mobilenet_v2,grayscale,scratch,0.5,42,9,7.500000000000001e-05,0.7422468092027795,0.7713045342480437,1.6336935908111379,0.5461200585651538,0.3730439573580449,0.5102135963649991,13.705882659999588,0.4900978000005125,14.196408646000236
mobilenet_v2,grayscale,scratch,0.5,42,10,6.710100716628346e-05,0.6732535376555412,0.792689462964948,1.5343944755282386,0.5763787213274768,0.40782286127281503,0.5408564594067689,13.694115581000005,0.48002538600030675,14.174613870999565
mobilenet_v2,grayscale,scratch,0.5,42,11,5.868240888334653e-05,0.6228196576344698,0.8059277521706507,1.2708681731645277,0.6173743289409468,0.45310746627695153,0.5882629372486656,13.750389748999623,0.4893307629999981,14.24013917100001
mobilenet_v2,grayscale,scratch,0.5,42,12,5e-05,0.5646561979800255,0.8208811233787116,1.2378199735811828,0.6310395314787701,0.47243187882239185,0.6055193094545696,13.693212969999877,0.479568021999512,14.173244302999592
mobilenet_v2,grayscale,scratch,0.5,42,13,4.131759111665349e-05,0.5281755481167282,0.8322435416443349,1.1974105420724657,0.6412884333821376,0.473783730044555,0.6175056479023117,13.704856512999868,0.4826680870000928,14.1879546629998
mobilenet_v2,grayscale,scratch,0.5,42,14,3.289899283371658e-05,0.5019283527850799,0.8456962161003323,1.1808066542640787,0.6432406051732552,0.47865304401564873,0.6199294922476408,13.712158420999913,0.48324905800018314,14.195829913000125
mobilenet_v2,grayscale,scratch,0.5,42,15,2.5000000000000015e-05,0.47091991991293447,0.8512702326079966,1.1966445669422736,0.6383601756954612,0.4717408446871778,0.6133416751937415,13.703430520999973,0.49107697699946584,14.194963433999874
mobilenet_v2,grayscale,scratch,0.5,42,16,1.7860619515673033e-05,0.45678730432160963,0.8580233679922822,1.1380844260495484,0.6549536359199609,0.48586286813708524,0.6291269045697546,13.69247053700019,0.47476778800046304,14.167671166999753
mobilenet_v2,grayscale,scratch,0.5,42,17,1.1697777844051107e-05,0.43892602317266005,0.8639725586879623,1.1572994346907222,0.6490971205466081,0.48382217140199657,0.6246114573033135,13.725534515000618,0.48372393299996475,14.209695073000148
mobilenet_v2,grayscale,scratch,0.5,42,18,6.698729810778077e-06,0.4326972138627394,0.8661164111909101,1.0692770621903411,0.6676427525622255,0.5050774893448434,0.6434374505714812,13.48079074799989,0.47696563899989997,13.958151777999774
mobilenet_v2,grayscale,scratch,0.5,42,19,3.015368960704585e-06,0.4295486374509106,0.8667059706292207,1.063080504093012,0.6695949243533431,0.505205689027871,0.6461125495388524,13.384497949999968,0.48879286800001864,13.873727074000271
mobilenet_v2,grayscale,scratch,0.5,42,20,7.596123493895992e-07,0.42093980535968656,0.869117804695037,1.1363926991536712,0.6539775500244022,0.4904110552516619,0.6301077087960355,13.385459371000252,0.45942130999992514,13.845311108000715
