architecture,variant,initialization,ratio,seed,epoch,learning_rate,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted,training_seconds,val_inference_seconds,epoch_seconds
vanilla_cnn,grayscale,scratch,0.2,42,1,5e-05,2.8714299353419097,0.2595151022619531,2.639824158468364,0.2938271604938272,0.10016356776650144,0.22472297212127912,31.058262541002478,4.567783625003358,35.6612460000033
vanilla_cnn,grayscale,scratch,0.2,42,2,7.500000000000001e-05,2.437129746829367,0.3789787349315996,2.524899423858266,0.3172839506172839,0.11558563056451865,0.25755731257883785,24.361388416997215,0.9331867080036318,25.30832024999836
vanilla_cnn,grayscale,scratch,0.2,42,3,0.0001,2.2409007148530833,0.4303128809427062,2.4722433773087866,0.3197530864197531,0.11157235930916892,0.23505614169828312,24.643235083000036,0.9237253329993109,25.5805396249998
vanilla_cnn,grayscale,scratch,0.2,42,4,9.924038765061042e-05,2.0920459342878006,0.4702695381281322,2.3522119404357156,0.3345679012345679,0.12996393985016277,0.2672828523800392,22.928790625002875,0.8149177500017686,23.754022833003546
vanilla_cnn,grayscale,scratch,0.2,42,5,9.698463103929544e-05,1.9582708990866133,0.4989841527834214,2.2755735326696325,0.34074074074074073,0.1482512053598624,0.28422360095511984,23.466489917002036,0.8100826250010869,24.28842445799819
vanilla_cnn,grayscale,scratch,0.2,42,6,9.330127018922195e-05,1.8634566317789119,0.5278342137342543,2.089473432376061,0.42345679012345677,0.19535211562980598,0.361667204478035,24.74568566599919,0.8763307910048752,25.63674316700053
vanilla_cnn,grayscale,scratch,0.2,42,7,8.83022221559489e-05,1.7852183163012654,0.5420560747663551,2.04406849425516,0.4345679012345679,0.2144466268111444,0.3684879882008173,23.136852582996653,0.7632815830002073,23.908240167002077
vanilla_cnn,grayscale,scratch,0.2,42,8,8.213938048432697e-05,1.7094222067914713,0.5627793579845591,2.25065949993369,0.39753086419753086,0.18153848817948498,0.33238890651475433,22.69738695799606,0.8928122910001548,23.598916292001377
vanilla_cnn,grayscale,scratch,0.2,42,9,7.500000000000001e-05,1.6461363979330816,0.5790329134498171,2.1129408848138502,0.4222222222222222,0.21156015042913895,0.3653056510824272,22.286677832998976,0.7816015830030665,23.079167582996888
vanilla_cnn,grayscale,scratch,0.2,42,10,6.710100716628346e-05,1.5935322671632173,0.5912230800487607,1.9393300939489293,0.445679012345679,0.22698984064248293,0.38389094698162207,22.52488216599886,0.756385415996192,23.291284415994596
vanilla_cnn,grayscale,scratch,0.2,42,11,5.868240888334653e-05,1.5481382812020514,0.5932547744819179,1.873838542420187,0.47530864197530864,0.2539362873111438,0.41560388972349255,22.369097916998726,0.7385828750047949,23.112717625001096
vanilla_cnn,grayscale,scratch,0.2,42,12,5e-05,1.5019374704451383,0.6139780577001219,1.7755259337248626,0.5012345679012346,0.2916688079286214,0.45142708683528604,23.943332208000356,0.9037551250003162,24.855353834005655
vanilla_cnn,grayscale,scratch,0.2,42,13,4.131759111665349e-05,1.4687569940153151,0.6185832317486116,1.923055719446253,0.4641975308641975,0.2548537876263372,0.40749921274804796,23.073638166999444,0.821968125004787,23.90169883299677
vanilla_cnn,grayscale,scratch,0.2,42,14,3.289899283371658e-05,1.4511489063747591,0.6240010835703643,1.8292830761568046,0.48641975308641977,0.26727859899116735,0.42842713019865925,23.04819724999834,0.8049865420034621,23.85881166600302
vanilla_cnn,grayscale,scratch,0.2,42,15,2.5000000000000015e-05,1.4250121660450843,0.633211431667344,1.766796940933039,0.49876543209876545,0.2848875129368741,0.43814321731623507,23.519485625001835,0.8244677499969839,24.350874874995498
vanilla_cnn,grayscale,scratch,0.2,42,16,1.7860619515673033e-05,1.399418767367568,0.6344304483272383,1.8334297085985725,0.4962962962962963,0.2856378701802086,0.4418486782806562,24.231306833004055,0.7596392500054208,24.996730458005914
vanilla_cnn,grayscale,scratch,0.2,42,17,1.1697777844051107e-05,1.4041712902497425,0.6342950020316944,1.8294560185185185,0.4925925925925926,0.2758205832913284,0.4328584869308978,24.779826375000994,0.9711873339983867,25.757332542001677
vanilla_cnn,grayscale,scratch,0.2,42,18,6.698729810778077e-06,1.3852385174012292,0.6422863334687796,1.763562981876326,0.5098765432098765,0.3002306563435697,0.45357380256297064,24.20446300000185,1.0501563330035424,25.26219070800289
vanilla_cnn,grayscale,scratch,0.2,42,19,3.015368960704585e-06,1.3858380152025342,0.6401191927400786,1.7848817236629533,0.49876543209876545,0.28356320384413275,0.437980245011428,25.54669629199634,0.9145080000016605,26.469217875004688
vanilla_cnn,grayscale,scratch,0.2,42,20,7.596123493895992e-07,1.3822633001873135,0.6370039279425708,1.7617647806803385,0.5012345679012346,0.28952780545030515,0.44365387675888,26.508922458000598,1.0040383750019828,27.52133258300455
