architecture,variant,initialization,ratio,seed,epoch,learning_rate,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted,training_seconds,val_inference_seconds,epoch_seconds
mobilenet_v2,color,scratch,0.8,42,1,5e-05,2.252415371228172,0.37761861528632434,2.2090907932408266,0.38459214501510575,0.15850957907728003,0.3317222347895782,24.476838138999938,1.2847406549999505,25.762259496000297
mobilenet_v2,color,scratch,0.8,42,2,7.500000000000001e-05,1.5309272780736352,0.548269948552406,1.7646172860597915,0.49214501510574016,0.29132284731433483,0.4617675272647034,21.083019840999896,0.6843007620000208,21.76780640099969
mobilenet_v2,color,scratch,0.8,42,3,0.0001,1.1312582549989822,0.6586300817108847,1.372605722548378,0.5854984894259819,0.4128537430236619,0.5650067020887936,21.087812167000266,0.7223901970000952,21.81061620399987
mobilenet_v2,color,scratch,0.8,42,4,9.924038765061042e-05,0.7648122268679275,0.7649551094522344,0.9500084735835786,0.695166163141994,0.5697155887530886,0.6899311079924579,21.057686832999934,0.7237929650000297,21.781919074000143
mobilenet_v2,color,scratch,0.8,42,5,9.698463103929544e-05,0.5393902848638248,0.8316688523487676,0.8535668566147726,0.7235649546827795,0.604031252301835,0.7204040464763014,21.978319115999966,0.7320547300000726,22.710838032999618
mobilenet_v2,color,scratch,0.8,42,6,9.330127018922195e-05,0.40701884999452864,0.8739029557147181,0.6376015447057626,0.7948640483383685,0.718176243708002,0.7949441348896199,22.212886698000148,0.7377602579999802,22.951067257999966
mobilenet_v2,color,scratch,0.8,42,7,8.83022221559489e-05,0.31729002051753663,0.901173543158815,0.4388176065197164,0.8595166163141994,0.8074194551541093,0.8598083204530521,22.065325634000146,0.7125349269999788,22.77838254800008
mobilenet_v2,color,scratch,0.8,42,8,8.213938048432697e-05,0.2588634443115124,0.9190625105080871,0.46195664765971667,0.8459214501510574,0.792908107354247,0.8475871948037034,21.864673779999976,0.7131122920000053,22.578238777000024
mobilenet_v2,color,scratch,0.8,42,9,7.500000000000001e-05,0.21143099157812775,0.9326473654124214,0.3726853033567123,0.8761329305135952,0.8254561398099919,0.8762297993181404,21.729932286999883,0.7306265799998073,22.461020297999767
mobilenet_v2,color,scratch,0.8,42,10,6.710100716628346e-05,0.17421407955568863,0.9464003497091361,0.2860552453922721,0.9036253776435045,0.86657866665611,0.9030795861708125,21.739001388999895,0.7274941390001004,22.46692313199992
mobilenet_v2,color,scratch,0.8,42,11,5.868240888334653e-05,0.15068357354196305,0.9538316688523487,0.28176921321546206,0.9099697885196375,0.8703696025374156,0.908735948822717,21.721363645999645,0.7285113510001793,22.45035511900005
mobilenet_v2,color,scratch,0.8,42,12,5e-05,0.1274683022940322,0.9611957362386092,0.2828329742495027,0.9063444108761329,0.8706392174008559,0.9061480305952214,21.787344748000123,0.7183724080000502,22.506200146999618
mobilenet_v2,color,scratch,0.8,42,13,4.131759111665349e-05,0.11273198095237509,0.9654998486835469,0.24813129757826421,0.9205438066465257,0.8964223492468419,0.9207486943113358,21.75514762800003,0.7164614969997274,22.472068309000406
mobilenet_v2,color,scratch,0.8,42,14,3.289899283371658e-05,0.10225258318525648,0.9694677023437237,0.20117801878027325,0.9332326283987915,0.9085871515867102,0.932916478445961,21.742521370000304,0.723395033000088,22.466346311000052
mobilenet_v2,color,scratch,0.8,42,15,2.5000000000000015e-05,0.09124348858751748,0.9728639160698074,0.2371381498535594,0.927190332326284,0.9053893071063054,0.9276402682575924,21.753226339999856,0.7147018800001206,22.46836101300005
mobilenet_v2,color,scratch,0.8,42,16,1.7860619515673033e-05,0.08116125912371133,0.9770671508793167,0.21087669850836346,0.9305135951661632,0.9094239772158406,0.9306203053053821,21.764395011000033,0.7084270000000288,22.473328474000027
mobilenet_v2,color,scratch,0.8,42,17,1.1697777844051107e-05,0.07593479498300393,0.9778405460842664,0.20184959886297357,0.9365558912386707,0.9156054371486808,0.9365343935727564,21.76097667699969,0.7074837959999059,22.468926403000296
mobilenet_v2,color,scratch,0.8,42,18,6.698729810778077e-06,0.07495550587264742,0.9784458118968358,0.18427345378161197,0.9392749244712991,0.9212325841938093,0.9394677860430601,21.718493775999832,0.7189495489997171,22.437884356000268
mobilenet_v2,color,scratch,0.8,42,19,3.015368960704585e-06,0.07082101146884177,0.979891724671307,0.1799220474465016,0.9438066465256798,0.9241123572984002,0.9439171050129984,21.774678218999725,0.7208549599999969,22.495987981000326
mobilenet_v2,color,scratch,0.8,42,20,7.596123493895992e-07,0.06743378214132986,0.981203133931874,0.18011533518932377,0.9435045317220544,0.9233186241584199,0.9436496716953283,21.787644083000032,0.7146345069995732,22.502720530999795
